date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking
2026-06-21,Cardia_Adr_India_Install_Cpi_21062026,,,477969,24963,21265,459,1.838721,1.934864,19147.097705,151,8941,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-22,Cardia_Adr_India_Install_Cpi_21062026,,,312239,18727,17163,270,1.441769,1.468468,16673.199124,102,7331,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-22,Cardia_Adr_India_Install_Roas_230626,,,178223,13084,12026,132,1.008866,0.963008,13621.446041,22,2943,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-23,Cardia_Adr_India_Install_Cpi_21062026,,,303102,14854,13136,273,1.837889,1.864818,20405.412683,115,5832,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-23,Cardia_Adr_India_Install_Roas_230626,,,284858,16116,11752,514,3.189377,3.394142,17675.477786,112,2352,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-23,Cardia_Adr_India_Install_Bidding_230626_Normal,,,718,52,45,0,0,,13807.692308,,10,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-23,Cardia_Adr_US_Install_230626,,,214188,274,203,3,1.094891,1.094891,781708.029197,1,35,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-23,Cardia_Adr_US_Install_Normal_230626,,,194211,235,192,8,3.404255,3.829787,826429.787234,3,34,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-23,Cardia_Adr_US_Install_Adv_230626,,,207023,286,243,7,2.447552,2.447552,723856.643357,1,31,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-24,Cardia_Adr_India_Install_Cpi_21062026,,,407571,22332,19046,417,1.867276,1.903099,18250.537346,193,9070,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-24,Cardia_Adr_India_Install_Roas_230626,,,283325,12833,9442,621,4.839087,5.119614,22077.846178,91,1356,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-24,Cardia_Adr_India_Install_Bidding_230626_Normal,,,2176,152,131,1,0.657895,0.657895,14315.789474,,37,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-25,Cardia_Adr_India_Install_Cpi_21062026,,,377286,19709,16318,367,1.862093,1.89761,19142.82815,140,7828,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-25,Cardia_Adr_India_Install_Roas_230626,,,281806,11847,8951,645,5.444416,5.630117,23787.119102,120,1090,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-25,Cardia_Adr_India_Install_Bidding_230626_Normal,,,3,2,2,0,0,,1500,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-25,Cardia_US_Broad_Install_Volume_250626,,,566067,603,502,13,2.155887,2.819237,938751.243781,7,144,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-26,Cardia_Adr_India_Install_Cpi_21062026,,,383229,15654,14007,357,2.280567,2.357225,24481.218858,139,7000,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-26,Cardia_Adr_India_Install_Roas_230626,,,279818,6709,4961,671,10.001491,10.731853,41707.85512,115,1124,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-26,Cardia_Adr_India_Install_Bidding_230626_Normal,,,1495,103,79,1,0.970874,0.970874,14514.563107,,18,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-26,Cardia_US_Broad_Install_Volume_250626,,,371489,469,402,13,2.771855,2.771855,792087.420043,3,105,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-26,Cardia_Value_US_260626_Install,,,396167,5162,3565,481,9.318094,10.189849,76746.803565,43,614,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-26,Cardia_Global_Value_Install_260626_All,,,539753,17548,14435,727,4.142922,4.342375,30758.661956,159,5259,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Adr_India_Install_Cpi_21062026,,,405445,20912,18341,602,2.87873,3.00306,19388.150344,165,9139,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Adr_India_Install_Roas_230626,,,266370,12898,9418,688,5.33416,5.690805,20652.039076,101,1048,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Adr_India_Install_Bidding_230626_Normal,,,2015,103,83,4,3.883495,3.883495,19563.106796,,11,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_US_Broad_Install_Volume_250626,,,367519,487,409,15,3.080082,2.874743,754659.137577,6,124,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Value_US_260626_Install,,,390760,7419,5025,638,8.599542,9.556544,52670.171182,46,816,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Global_Value_Install_260626_All,,,589156,28017,22274,972,3.469322,3.676339,21028.5184,295,6488,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Adr_India_Install_Cpi_21062026,,,342143,18533,14494,575,3.102574,3.237468,18461.285275,98,9456,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Adr_India_Install_Roas_230626,,,207133,14874,10215,657,4.417104,4.746538,13925.843754,57,1291,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Adr_India_Install_Bidding_230626_Normal,,,1588,93,77,3,3.225806,3.225806,17075.268817,1,33,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_US_Broad_Install_Volume_250626,,,14241,24,21,0,0,,593375,,5,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Value_US_260626_Install,,,283883,4348,2779,411,9.452622,10.372585,65290.478381,26,627,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Value_Roas_260626_All,,,1225000,25579,24318,491,1.919543,2.01728,47890.847961,13,7084,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Value_Install_260626_All,,,442652,25326,20088,608,2.400695,2.491511,17478.164732,131,5671,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Value_Install_260626_Diabetes,,,154513,5642,4897,227,4.023396,4.094293,27386.210564,35,1504,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Roas_India_280626_Mass,,,302436,3487,3051,204,5.850301,6.251792,86732.434758,46,569,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_280626_All,,,282568,2076,1921,317,15.26975,15.703276,136111.753372,40,54,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-28,Cardia_Global_Auto_Roas_280626_Diabetes,,,321907,3084,2654,179,5.80415,6.258106,104379.701686,25,538,,UNKNOWN,UNKNOWN,UNKNOWN
