campaign_name,effective_status
Say_US_Bidding_Install_060726_All_Ads2_3Adcreative,PAUSED
Say_Global_Auto_Install_060726_All_Ads4,PAUSED
Say_Global_Bidding_Install_060726_All_Ads2_3Adcreative,PAUSED
Say_Global_Bidding_Install_060726_All_Ads3,PAUSED
Say_Global_Auto_Install_060726_All_Ads2_3Adcreative,PAUSED
Say_Global_Auto_Install_060726_All,PAUSED
Say_Global_Auto_Install_050726_All,PAUSED
Justin - cardia US R-V1 1407 – 9,PAUSED
Justin - cardia US R-V1 1407 – 8,PAUSED
Justin - cardia US R-V1 1407 –6,PAUSED
Justin - cardia US R-V1 1407 – 7,PAUSED
Justin - cardia US R-V1 1407 – 2 – Copy,PAUSED
Justin - cardia US R-V2 1407 - 4,PAUSED
Justin - cardia US R-V2 1407 - 6,ACTIVE
Justin - cardia US R-V2 1407 - 7,PAUSED
Justin - cardia US R-V2 1407 - 5,PAUSED
Justin - cardia US R-V2 1407 - 3,ACTIVE
Justin - cardia GL R-V2 1407 - 3,PAUSED
Justin - cardia GL R-V2 1407 - 5,ACTIVE
Justin - cardia GL R-V2 1407 - 4,ACTIVE
Justin - cardia GL R-V2 1407 - 2,ACTIVE
Justin - cardia GL R-V2 1407 - 1,PAUSED
Justin - cardia US R-V2 1407 - 2,ACTIVE
Justin - cardia US R-V2 1407,PAUSED
Justin - cardia GL R-V1 1407 – 6,PAUSED
Justin - cardia GL R-V1 1407 – 4,PAUSED
Justin - cardia GL R-V1 1407 – 5,PAUSED
Justin - cardia GL R-V1 1407 – 7,PAUSED
Justin - cardia GL R-V1 1407 - 3,PAUSED
Justin - cardia GL R-V1 1407 - 2,PAUSED
Justin - cardia GL R-V1 1407 - 1,ACTIVE
Justin - cardia US R-V1 1407 – 4,PAUSED
Justin - cardia US R-V1 1407 – 3,PAUSED
Justin - cardia US R-V1 1407 – 2,PAUSED
Justin - cardia US R-V1 1407 – 1,PAUSED
Justin - cardia US R-V1 1407,PAUSED
Justin 2 - Cardia GL 1407 CT12,PAUSED
Justin 2 - Cardia GL 1407 CT13,PAUSED
Justin 2 - Cardia GL 1407 CT11,PAUSED
Justin 2 - Cardia GL 1407 CT10,PAUSED
Justin 2 - Cardia GL 1407 CT9,PAUSED
Justin 2 - Cardia GL 1407 CT8,ACTIVE
Justin 2 - Cardia GL 1407 CT7,ACTIVE
Justin 2 - Cardia GL 1407 CT6,PAUSED
Justin 2 - Cardia GL 1407 CT5,PAUSED
Justin 2 - Cardia GL 1407 CT4,PAUSED
Justin 2 - Cardia GL 1407 CT3,PAUSED
Justin 2 - Cardia GL 1407 CT2,PAUSED
Justin 2 - Cardia GL 1407 CT1 – Copy,ACTIVE
Justin 2 - Cardia GL 1407 CT1,PAUSED
Justin - cardia R-V1 1307 4 – Copy,PAUSED
Justin - cardia R-V1 1307 4 – Copy,PAUSED
Justin - cardia R-V1 1307 4 – Copy,PAUSED
Justin - cardia R-V1 1307 4 – Copy,PAUSED
Justin - cardia R-V1 1307 4 – Copy,PAUSED
Justin - cardia R-V1 1307 4 – Copy,PAUSED
Justin - cardia Ins T2 R-V1 1307 – 4,PAUSED
Justin - cardia Ins T2 R-V1 1307 – 2,PAUSED
